Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,2,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,2,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,2,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,2,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,2,0,0
8,4,1,4,1,15,10,20,15,19,4,0,1,0,0,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,1,0,0,4,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,4,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,4,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,4,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,4,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,4,0,0,0,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,0,0,0,4,0,0
3,104,4,2,15,20,15,20,15,19,1,0,0,0,1,0,0,0,4,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,1,0,0,0,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
