Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-202,Fixed Date,Released,0,2018-11-12T21:38:01,2018-11-13T15:18:01,2018-12-04T10:17:01,15,16,Address logistical inefficiencies
KEY-203,Standard,Released,0,2018-11-13T11:19:01,2018-11-13T11:21:01,2018-11-13T11:22:01,1,1,Create employee training strategy
KEY-204,Standard,Released,0,2018-11-13T11:30:01,2018-11-13T11:31:01,2018-11-13T11:31:01,1,1,Create employee training strategy
KEY-205,Standard,Released,0,2018-11-13T11:35:01,2018-12-04T10:22:01,2018-12-04T10:22:01,1,15,Create employee training strategy
KEY-208,Standard,Released,0,2018-11-15T10:11:01,2019-02-25T12:26:01,2019-03-12T16:09:01,12,84,Acquire VC funding
KEY-213,Fixed Date,Released,0,2018-11-20T08:57:01,2018-12-17T16:33:01,2018-12-17T16:33:01,1,20,Move to new office space
KEY-216,Standard,Released,8,2018-11-20T10:12:01,2018-12-17T16:31:01,2018-12-17T16:32:01,1,20,Address logistical inefficiencies
KEY-217,Standard,Released,2,2018-11-20T10:17:01,2018-12-17T16:31:01,2018-12-17T16:32:01,1,20,Create product differentiator
KEY-218,Standard,Released,1,2018-11-20T10:21:01,2019-01-15T16:19:01,2019-01-17T08:54:01,2,42,Create product differentiator
KEY-22,Standard,Released,0,2018-10-04T13:28:01,2018-10-08T16:58:01,2018-10-15T16:13:01,5,10,Move to new office space
KEY-220,Expedite,Released,1,2018-11-20T10:23:01,2018-12-04T10:42:01,2018-12-04T10:43:01,1,11,Rebrand struggling product
KEY-221,Standard,Released,1,2018-11-20T10:39:01,2018-12-04T10:18:01,2018-12-04T10:18:01,1,10,Rebrand struggling product
KEY-222,Standard,Released,1,2018-11-20T10:56:01,2018-12-19T09:00:01,2018-12-19T09:01:01,1,21,Create product differentiator
KEY-223,Standard,Released,2,2018-11-20T10:58:01,2018-12-04T15:10:01,2019-02-07T20:23:01,48,56,Create employee training strategy
KEY-224,Standard,Released,8,2018-11-20T11:01:01,2018-12-04T16:12:01,2018-12-11T11:45:01,5,16,Rebrand struggling product
KEY-225,Standard,Released,5,2018-11-20T11:02:01,2019-01-15T16:47:01,2019-01-17T08:54:01,2,42,Create employee training strategy
KEY-229,Standard,Released,0,2018-11-20T11:23:01,2019-02-25T12:24:01,2019-03-14T16:47:01,14,81,Patent new product
KEY-23,Standard,Released,0,2018-10-04T13:29:01,2018-10-16T11:33:01,2018-12-04T10:35:01,35,43,Move to new office space
KEY-230,Fixed Date,Released,5,2018-11-20T11:23:01,2019-01-16T14:42:01,2019-03-08T14:25:01,37,77,Rebrand struggling product
KEY-231,Standard,Released,0,2018-11-20T11:27:01,2019-01-24T13:48:01,2019-01-24T13:48:01,1,46,Patent new product
KEY-232,Standard,Released,5,2018-11-20T11:28:01,2018-12-04T15:10:01,2019-01-23T09:53:01,36,46,Create new revenue stream
KEY-233,Standard,Released,2,2018-11-20T11:29:01,2019-01-14T16:26:01,2019-01-24T09:55:01,8,47,Optimise profit margins
KEY-235,Standard,Duplicate,0,2018-11-20T11:32:01,2019-01-24T13:48:01,2019-01-24T13:48:01,1,46,Patent new product
KEY-236,Standard,Released,5,2018-11-20T11:32:01,2018-12-17T08:54:01,2018-12-17T08:55:01,1,19,Create new customer channel
KEY-237,Standard,Released,2,2018-11-20T11:34:01,2019-01-23T13:58:01,2019-01-23T13:58:01,1,47,Optimise profit margins
KEY-239,Standard,Released,3,2018-11-20T11:34:01,2018-12-17T08:55:01,2018-12-27T10:28:01,9,27,Create new customer channel
KEY-24,Standard,Released,0,2018-10-04T13:29:01,2018-10-08T16:58:01,2018-10-08T17:25:01,1,5,Move to new office space
KEY-240,Standard,Released,3,2018-11-20T11:34:01,2018-11-30T14:58:01,2019-01-15T15:43:01,33,41,Procure office supplies
KEY-241,Standard,Released,3,2018-11-20T11:35:01,2018-12-17T08:56:01,2019-01-02T10:36:01,13,31,Create new customer channel
KEY-242,Standard,Released,1,2018-11-20T11:36:01,2018-11-27T11:09:01,2019-01-11T14:06:01,34,37,Optimise profit margins
KEY-243,Standard,Released,5,2018-11-20T11:36:01,2018-12-17T14:37:01,2018-12-27T11:05:01,8,27,Create new customer channel
KEY-244,Expedite,Released,3,2018-11-20T11:37:01,2019-01-21T08:01:01,2019-02-07T13:27:01,14,56,Create new customer channel
KEY-245,Standard,Released,0,2018-11-20T11:39:01,2018-12-04T10:20:01,2019-01-18T10:07:01,33,41,Prevent employee attrition
KEY-246,Standard,Released,1,2018-11-20T11:39:01,2018-12-03T17:35:01,2018-12-03T17:35:01,1,10,Address logistical inefficiencies
